SETTLEMENT DATE|CUSIP|SYMBOL|QUANTITY (FAILS)|DESCRIPTION|PRICE
20190916|D18190898|DB|33551|DEUTSCHE BANK AG NAMEN AKT (DE|8.45
20190916|G0080J104|ACTT|525|ACT II GLOBAL ACQUISITION CORP|9.90
20190916|G0080J112|ACTTU|300|ACT II GLOBAL ACQ CORP USD UIT|10.35
20190916|G0084W101|ADNT|13763|ADIENT PLC ORD SHS (IRL)|25.07
20190916|G01125106|AFYA|3560|AFYA LTD CL A COM|24.01
20190916|G01767105|ALKS|2192|ALKERMES PLC ORDINARY SHS (IRE|22.30
20190916|G02602103|DOX|107|AMDOCS LTD ORD|66.21
20190916|G0335L102|ANFI|119084|AMIRA NATURE FOODS LTD ORD SHS|0.63
20190916|G0457F107|ARCO|54|ARCOS DORADOS HOLDINGDS INC. C|6.73
20190916|G05384154|AHLPRC|1384|ASPEN INSURANCE HLDGS LTD FXD/|27.56
20190916|G05384162|AHLPRD|1044|ASPEN INSURANCE HOLDINGS LIMIT|25.49
20190916|G05384204|AHLPRE|3030|ASPEN INSURANCE HOLD LIM DEP S|25.12
20190916|G0692U117|AXSPRD|476|AXIS CAPITAL HLDGS LTD PFD SR |25.00
20190916|G06974102|AUIAF|2110|AURANIA RES LTD SHS (BERMUDA) |1.92
20190916|G07025201|EARS|5|AURIS MED HLDG LTD SHS (BMU)|3.02
20190916|G0751N103|AY|35|ATLANTICA YIELD PLC SHS (GBR) |24.00
20190916|G10830100|BYSI|2765|BEYONDSPRING INC ORD SHS (CYM)|20.11
20190916|G1117K114|BIOX|5426|BIOCERES CROP SOLUTIONS CORP. |6.79
20190916|G11196105|BHVN|160|BIOHAVEN PHARMACEUTICAL HLDG C|47.03
20190916|G1151C101|ACN|140|ACCENTURE PLC CL-A ORDINARY SH|194.62
20190916|G1466B103|BRQS|58|BORQS TECHNOLOGIES INC SHS (VG|1.95
20190916|G1466R207|BORR|2365|BORR DRILLING LTD SHS (BERMUDA|6.75
20190916|G14838109|MIME|326|MIMECAST LTD ORD SHS (GBR)|38.77
20190916|G16234109|BBU|9|BROOKFIELD BUSINESS PARTNERS L|37.53
20190916|G16249107|BPY|4100|BROOKFIELD PPTY PARTNERS L P U|20.08
20190916|G16258108|BEP|166|BROOKFIELD RENEWABLE PARTNERS |36.62
20190916|G16962105|BG|378|BUNGE LIMITED|56.83
20190916|G16962204|BGEPF|30|BUNGE LIMITED 4.875% PERPETUAL|102.83
20190916|G1757E113|CMCL|30782|CALEDONIA MNG CORP PLC SHS NEW|7.17
20190916|G17766109|CMBM|173|CAMBIUM NETWORKS CORP SHS (CYM|10.88
20190916|G1890L107|CPRI|700|CAPRI HLDGS LTD SHS (VGB)|32.01
20190916|G1992S109|CISN|13000|CISION LTD|7.96
20190916|G20045202|CETV|60486|CENTRAL EUROPEAN MEDIA ENTRP-A|4.45
20190916|G21125102|CNWHF|93216|CHINA NETWORKS INTL HLDGS LTD |0.48
20190916|G2113X134|CCCL|12583|CHINA CERAMICS CO LTD USD SHS |0.92
20190916|G2120A101|CIFS|5|CHINA INTERNET NATIONWIDE FINL|1.97
20190916|G21515104|CBPO|30|CHINA BIOLOGIC PRODS HLDGS INC|99.44
20190916|G21621100|PLIN|43|CHINA XIANGTAI FOOD CO LTD|4.42
20190916|G22707106|CCH|683|COLLIER CREEK HOLDINGS CLASS A|10.21
20190916|G25343107|CZZ|37|COSAN LIMITED SHS A (BERMUDA) |15.24
20190916|G25839104|CCEP|1082|COCA-COLA EUROPEAN PARTNERS PL|55.78
20190916|G2692M103|DDMX|1150|DD3 ACQUISITION CORP SHS (VGB)|10.14
20190916|G28365107|LYL|493|DRAGON VICTORY INTL LTD SHS (C|1.19
20190916|G29183103|ETN|3142|EATON CORP PLC (IRL)|87.47
20190916|G3040R158|EDVMF|250|ENDEAVOUR MINING CORP SHS NEW |18.43
20190916|G30401106|ENDP|10277|ENDO INTL PLC ORD SHS (IRL)|3.88
20190916|G3075P101|ESGR|16|ENSTAR GROUP LIMITED ORD SHS|191.99
20190916|G3165V109|ARYA|58750|ARYA SCIENCES ACQUISITION CORP|10.19
20190916|G3165V125|ARYAW|714|ARYA SCIENCES ACQUISITION CORP|1.75
20190916|G32030127|CLWT|809|EURO TECH HOLDINGS CO LTD NEW |4.21
20190916|G3206V100|ESTR|31140|ESTRE AMBIENTAL IN SHS (CYM)|0.61
20190916|G3223R108|RE|159|EVEREST RE GP LTD(BERM)HLDG CO|256.39
20190916|G33277107|FAMI|1109|FARMMI INC ORDINARY SHARES (CY|1.32
20190916|G37585117|GLOGPRA|250|GASLOG LTD CUM RED PERP PFD SH|26.77
20190916|G3788M114|EROS|4140|EROS INTL PLC ORD SHS (IMN)|2.45
20190916|G3933F139|GBLIL|299|GLOBAL INDTY LTD CAYMAN SUB NT|26.59
20190916|G39637205|GOGL|997|GOLDEN OCEAN GROUP LTD SHS NEW|6.56
20190916|G4027R104|DNJR|700|GOLDEN BULL LTD SHS (CYM)|0.54
20190916|G4388N106|HELE|43|HELEN OF TROY LTD-NEW-BERMUDA |150.36
20190916|G4412G101|HLF|11837|HERBALIFE NUTRITION LTD|41.88
20190916|G4418R101|HEBT|19405|HEBRON TECHNOLOGY CO LTD CLASS|4.19
20190916|G4474Y214|JHG|2334|HENDERSON GROUP PLC ORD SHS (J|21.81
20190916|G4511M108|PSV|476|HERMITAGE OFFSHORE SVCS LTD SH|1.48
20190916|G4603R130|HCCHR|1772|HL ACQUISITIONS CORP RTS TO RE|0.37
20190916|G46188101|HZNP|486|HORIZON THERAPEUTICS PUB LTD C|26.34
20190916|G46408103|HUD|31|HUDSON LTD|13.05
20190916|G4740B105|ICHR|155|ICHOR HLDGS LTD SHS (CYM)|26.07
20190916|G47567105|INFO|148|IHS MARKIT LTD (BMU)|67.86
20190916|G47791101|IR|198|INGERSOLL-RAND PLC ORD SHS (IR|124.32
20190916|G491BT108|IVZ|9800|INVESCO LTD (NEW)|17.40
20190916|G5223X100|KXIN|1930|KAIXIN AUTO HLDGS SHS (CYM)|1.93
20190916|G5480U104|LBTYA|297807|LIBERTY GLOBAL PLC SHS CL A|28.39
20190916|G5480U120|LBTYK|322375|LIBERTY GLOBAL PLC SHS CL C (U|27.51
20190916|G56372124|LOACR|12|LONGEVITY ACQUISITION CORP|0.22
20190916|G56981106|LKCO|4000|LUOKUNG TECHNOLOGY CORP SHS|7.02
20190916|G5753U146|MHPRD|44|MAIDEN HOLDINGS LTD. PREFERRED|5.43
20190916|G5785G107|MNK|243410|MALLINCKRODT PUB LTD CO SHS (I|3.30
20190916|G5876H105|MRVL|6547|MARVELL TECH GROUP LTD|25.86
20190916|G59290109|MDJH|7928|MDJM LTD SHS (CYM)|2.81
20190916|G6095L109|APTV|270|APTIV PLC SHS (JEY)|90.18
20190916|G6181K106|MTC|210|MMTEC INC SHS|3.66
20190916|G6333L101|ITRM|120|ITERUM THERAPEUTICS LTD|6.75
20190916|G6359F129|NBRPRA|247|NABORS INDUSTRIES LTD PFD CONV|19.04
20190916|G6455A123|NFINU|2278|NETFIN ACQ CORP UNIT 1 SH CL A|10.05
20190916|G6485P124|NFCWS|160|NEW FRONTIER CORP WT EXP 7/3/2|1.10
20190916|G6564A105|NOMD|225|NOMAD FOODS LTD ORDINARY SHARE|21.11
20190916|G6700G107|NVT|31|NVENT ELEC PLC SHS (IRL)|22.30
20190916|G67145113|OACWS|100|OAKTREE ACQUISITION CORP WT EX|0.80
20190916|G67828205|SEED|1189|ORIGIN AGRITECH LIMITED|6.63
20190916|G6855A103|OXFD|263|OXFORD IMMUNOTEC GLOBAL PLC|14.01
20190916|G6856M114|OXBRW|1500|OXBRIDGE RE HLDGS LTD WTS EXP |0.07
20190916|G72007100|PBTS|1219|POWERBRIDGE TECHNOLOGIES CO LT|4.30
20190916|G7293H189|PUKPRA|216|PRUDENTIAL PLC 6.50 EXCHG PERP|26.40
20190916|G7457R122|RBZ|24625|REEBONZ HLDG LTD UDS ORD SHS N|2.25
20190916|G75130107|RPLA|360|REPLAY ACQUISITION CORP (CYM) |9.89
20190916|G75130123|RPLAU|99|REPLAY ACQUISITION CORP UNIT 1|10.25
20190916|G78516203|SCPE|749900|SC HEALTH CORP CL A (CYM)|9.89
20190916|G78516302|SCPEU|1000|SC HEALTH CORPUNIT 1 CL A & 1/|10.35
20190916|G78516401|SCPEWS|262|SC HEALTH CORP WTS EXP 07/16/2|1.17
20190916|G7998G106|SDRL|63360|SEADRILL LTD NEW SHS (BMU)|3.17
20190916|G8060N102|ST|39|SENSATA TECHNOLOGIES HLDG PLC |52.14
20190916|G81075106|SFL|22343|SHIP FINANCE INTERNATIONAL LTD|14.29
20190916|G81276100|SIG|1200|SIGNET JEWELERS LTD COM SHS|16.40
20190916|G8136L122|SSPKU|2439|SILVER SPIKE ACQUISITION CORP |10.02
20190916|G81477104|SINA|134|SINA CORPORATION|45.67
20190916|G8250R103|IPOA|3101|SOCIAL CAP HEDOSOPHIA HLDGS CO|10.42
20190916|G8473T100|STE|74|STERIS PLC ORD SHS(IRL)|144.12
20190916|G85158106|STNE|8|STONECO LTD CL A (CYM)|32.89
20190916|G8675X107|TANH|181|TANTECH HLDGS LTD COM STK (VGB|1.55
20190916|G87084102|PETZ|489|TDH HLDGS INC|1.68
20190916|G87110105|FTI|521|TECHNIPFMC PLC COM (GBR)|25.50
20190916|G8789K124|ABIL|186|ABILITY INC SHS NEW (CYM)|0.66
20190916|G8857S124|THBRU|1152|THUNDER BRDG ACQUISITION II LT|10.10
20190916|G88950103|TKKS|146244|TKK SYMPHONY ACQUISITION CORP |10.17
20190916|G88950129|TKKSW|1180|TKK SYMPHONY ACQUISITION CORP |0.10
20190916|G88950137|TKKSR|330468|TKK SYMPHONY ACQUISITION CORP |0.29
20190916|G8959N106|TOTA|100|TOTTENHAM ACQUISITION I LTD SH|10.26
20190916|G89827128|TPGH|5000|TPG PACE HLDGS CORP CL A (CYM)|10.27
20190916|G89982113|TAT|6175|TRANSATLANTIC PETROLEUM LTD OR|0.69
20190916|G9001E102|LILA|1281|LIBERTY LATIN AMER LTD CL A (B|18.53
20190916|G9108L132|TNPPRC|130|TSAKOS ENERGY NAVIGATION LTD R|25.75
20190916|G9145A131|BROGR|400|TWELVE SEAS INVT CO RTS TO PUR|0.34
20190916|G9310A114|UTSI|181|UTSTARCOM HOLDINGS CORP ORD SH|3.00
20190916|G9396G100|MYT|7606|URBAN TEA INC USD ORD SHS (VGB|0.30
20190916|G9402V109|VAL|145755|VALARIS PLC SHS CL A (GBR)|6.35
20190916|G94184101|WAFU|528|WAH FU ED GROUP LTD SHS (VGB) |4.00
20190916|G96629103|WLTW|45|WILLIS TOWERS WATSON PUB LTD C|194.70
20190916|G97822103|PRGO|12|PERRIGO COMPANY PLC (IRL)|55.96
20190916|G98338117|YTROF|4997|YATRA ONLINE INC WT EXP 12/16/|0.20
20190916|G9892K100|ZKIN|1028|ZK INTL GROUP CO LTD SHS (VGB)|1.86
20190916|H17182108|CRSP|66|CRISPR THERAPEUTICS AG NAMEN A|47.67
20190916|H50430232|LOGI|8730|LOGITECH INTERNATIONAL S.A .OR|41.94
20190916|H8817H100|RIG|582508|TRANSOCEAN LTD (SWITZERLAND)|5.73
20190916|L00849106|AGRO|1547|ADECOAGRO S A COM SHS (LUX)|5.95
20190916|L0164E108|SONG|500|AKAZOO S A SHS EURO|5.16
20190916|L0175J104|ASPS|325|ALTISOURCE PORTFOLIO SOLUTIONS|22.21
20190916|L6388F110|TIGO|2|MILLICOM INTL CELLULAR SA REG |52.49
20190916|L67359106|NEXA|167|NEXA RES S A COM (LUX)|9.60
20190916|L7257P205|PACD|5061|PACIFIC DRILLING S.A., LUXEMBO|6.12
20190916|M15629104|BCOM|78|B COMMUNICATIONS LTD|1.24
20190916|M22465104|CHKP|124|CHECK POINT SOFTWR TECHNLS LTD|111.88
20190916|M2361E120|CHEKW|1545|CHECK-CAP LTD WTS EXP 2/28/20 |0.10
20190916|M2361E203|CHEK|1827|CHECK-CAP LTD ORD SHS (ISR)|2.10
20190916|M25722105|CGEN|6944|COMPUGEN LTD|4.23
20190916|M26895108|CYRN|4727|CYREN LTD|1.68
20190916|M37605124|EMITF|25728|ELBIT IMAGING LTD SHS NEW NO P|0.59
20190916|M4R82T106|FVRR|446|FIVERR INTL LTD ORD SHS (ISR) |19.27
20190916|M46135105|FOMX|3281|FOAMIX PHARMACEUTICALS LTD ORD|3.50
20190916|M47364100|GMDA|1667|GAMIDA CELL LTD (ISR)|4.16
20190916|M5425M103|INMD|27876|INMODE LTD SHS|28.48
20190916|M6372Q113|KRNT|1936|KORNIT DIGITAL LTD ORD SHS (IS|31.95
20190916|M68830104|MDWD|40|MEDIWOUND LTD ORD SHS|3.21
20190916|M69676209|MTSL|26|MER TELEMANAGEMENT SOLUTIONS L|1.51
20190916|M81863124|RADA|967|RADA ELECTRONIC INDUSTRIES LTD|4.79
20190916|M8216Q200|RWLK|7862|REWALK ROBOTICS LTD SHS NEW (I|3.20
20190916|M8694L103|SLGL|467|SOL-GEL TECHNOLOGIES LTD SHS (|8.60
20190916|M8790Y108|TOMDF|11359|TODOS MED LTD (ISRAEL)|0.28
20190916|M98068105|WIX|9|WIX.COM LTD ORDINARY SHS|123.81
20190916|N07059210|ASML|14743|ASML HOLDING NV NY REG SHS NEW|248.99
20190916|N14506104|ESTC|249359|ELASTIC N V USD SHS (NLD)|93.75
20190916|N20146101|CMPR|194|CIMPRESS N.V. ORDINARY SHARES |126.94
20190916|N20947102|CNVAF|850|CNOVA N V (NETHERLANDS)|3.28
20190916|N22717107|CLB|164|CORE LABS N.V.|46.91
20190916|N3167Y103|RACE|3|FERRARI N V NEW COM SHS (NLD) |152.60
20190916|N44821101|IFRX|29983|INFLARX N V COM (NLD)|3.02
20190916|N59465109|MYL|1127|MYLAN N V SHS EURO|21.69
20190916|N6596X109|NXPI|33221|NXP SEMICONDUCTORS N V|110.73
20190916|N72482123|QGEN|2399|QIAGEN NV|34.04
20190916|P31076105|CPA|14|COPA HOLDINGS, S.A. CL A COM (|98.59
20190916|Q4867H223|IMRNW|100|IMMURON LTD WT EXP 05/12/22|0.92
20190916|Q56767108|MMSDF|37537|MACARTHUR MINERALS LTD ORDINAR|0.05
20190916|Q7352P105|PNGZF|41373|PARINGA RES LTD ORD SHS (AUS) |0.07
20190916|V7780T103|RCL|269|ROYAL CARIBBEAN CRUISES LTD|114.83
20190916|Y1968P121|DAC|293|DANAOS CORPORATION SHS NEW (MH|8.05
20190916|Y2065G121|DHT|2208|DHT HOLDING, INC NEW|6.07
20190916|Y2066G112|DSXPRB|557|DIANA SHIPPING INC PERP PFD 8.|25.29
20190916|Y2109Q705|DRYS|2141|DRYSHIPS INC COM PAR NEW (MHL)|5.23
20190916|Y2187A143|EGLE|5815|EAGLE BULK SHIPPING INC SHS NE|5.00
20190916|Y2188B108|DLNG|462|DYNAGAS LNG PARTNERS LP COM UN|1.22
20190916|Y27265407|GLBS|3120|GLOBUS MARITIME LIMITED COM (M|2.27
20190916|Y2745C102|GMLP|352|GOLAR LNG PARTNERS LP COM UIT |9.62
20190916|Y28895103|GRIN|184|GRINDROD SHIPPING HLDGS LTD SH|5.55
20190916|Y3262R100|HMLP|193|HOEGH LNG PARTNERS LP COM UIT |15.55
20190916|Y46717107|KEN|36|KENON HLDGS LTD ORD SHS (SGP) |19.70
20190916|Y62159143|NNA|5815|NAVIOS MARITIME ACQUISITION CO|7.18
20190916|Y62197119|NM|63|NAVIOS MARITIME HOLDINGS INC C|4.82
20190916|Y67305105|DCIX|162|PERFORMANCE SHIPPING INC COM (|0.96
20190916|Y7545W125|SDLPF|2201|SEADRILL PARTNERS LLC COM UNIT|0.96
20190916|Y7546A122|SALT|100|SCORPIO BULKERS INC COM STK (M|6.94
20190916|Y75638109|SSW|175|SEASPAN CORPORATION COM SHS (M|11.59
20190916|Y75638208|SSWPRD|992|SEASPAN CORP CUMULATIVE REDEEM|25.16
20190916|Y8564M105|TGP|4680|TEEKAY LNG PARTNERS L.P. COM U|16.20
20190916|Y8565J176|TOOPRE|48|TEEKAY OFFSHORE PART (MARSHALL|16.60
20190916|000304105|AACAY|8688|AAC TECHNOLOGIES HOLDINGS INC |5.16
20190916|000307108|AAC|9827|AAC HLDGS INC COM STK (NV)|0.77
20190916|000361105|AIR|168|A A R CORP|45.42
20190916|000375204|ABB|3599|ABB LTD ADS ( 1 REG SHS)|20.36
20190916|000380105|ABCZY|1065|ABCAM PLC UNSPON ADR (UK)|14.04
20190916|00080Q105|AAVMY|434|ABN AMRO BK N V AMSTERDAM BRH |20.55
20190916|00090Q103|ADT|284196|ADT INC DEL|5.94
20190916|000957100|ABM|715|ABM INDUSTRIES INC|36.30
20190916|00130H105|AES|402|THE AES CORPORATION|15.79
20190916|00162Q205|EQL|107|ALPS ETF TR EQUAL SECTOR WEIGH|76.36
20190916|00163U106|AMAG|43737|AMAG PHARMACEUTICALS INC COM S|11.79
20190916|00165R101|AMCI|2642|AMCI ACQUISITION CORP CL A|10.00
20190916|00170F209|AATRL|70|AMG CAP TR II 5.15 CONV TR PFD|48.84
20190916|001744101|AMN|98|AMN HEALTHCARE SERVICES|55.67
20190916|00175J107|POWW|6933|AMMO INC|1.72
20190916|00180G106|HKIB|454|AMTD INTL INC SPONSORED ADS|9.05
20190916|00183L102|ANGI|21150|HOMESERVICES INC. CLASS A COMM|7.98
20190916|00191U102|ASGN|90|ASGN INC COM|66.56
