SETTLEMENT DATE|CUSIP|SYMBOL|QUANTITY (FAILS)|DESCRIPTION|PRICE
20190401|D1668R123|DDAIF|227|DAIMLER AG|58.57
20190401|D18190898|DB|16694|DEUTSCHE BANK AG NAMEN AKT (DE|8.12
20190401|G0084W101|ADNT|163|ADIENT PLC ORD SHS (IRL)|12.96
20190401|G0132V105|AGMH|141|AGM GROUP HLDGS INC USD CL A O|19.61
20190401|G0176J109|ALLE|143|ALLEGION PUB LTD CO (IRL)|90.71
20190401|G0177J108|AGN|1515|ALLERGAN PLC ORD SHS (IRL)|146.41
20190401|G0335L102|ANFI|41114|AMIRA NATURE FOODS LTD ORD SHS|1.69
20190401|G04415108|ANDA|29|ANDINA ACQUISITION CORP III US|9.75
20190401|G04415132|ANDAR|1200|ANDINA ACQUISITION CORP III RT|0.35
20190401|G0551A103|ARRS|44900|ARRIS INTL LTD ORD SHS (GBR)|31.61
20190401|G06207115|AFH|8954|ATLAS FINANCIAL HOLDINGS INC. |2.46
20190401|G0684D107|ATH|21220|ATHENE HLDG LTD CL A (BMU)|40.80
20190401|G07025102|EARS|13847|AURIS MED HLDG LTD SHS (BMU)|0.35
20190401|G0750W104|AXGT|45218|AXOVANT SCIENCES LTD COM SHS|1.33
20190401|G10830100|BYSI|25|BEYONDSPRING INC ORD SHS (CYM)|16.01
20190401|G1117K106|BIOXWS|100|BIOCERES CROP SOLUTIONS CORP. |0.27
20190401|G1142P104|BCAC|3205|BISON CAP ACQUISITION CORP|10.54
20190401|G1142P138|BCACR|11358|BISON CAP ACQUISITION CORP RTS|0.35
20190401|G16234109|BBU|198|BROOKFIELD BUSINESS PARTNERS L|39.57
20190401|G16249107|BPY|109178|BROOKFIELD PPTY PARTNERS L P U|20.57
20190401|G16249149|BPYPP|46910|BROOKFIELD PPTY PARTNERS LP PF|24.83
20190401|G16252101|BIP|459|BROOKFIELD INFRASTRUCTURE PART|41.87
20190401|G1757E113|CMCL|89721|CALEDONIA MNG CORP PLC SHS NEW|6.02
20190401|G1890L107|CPRI|31|CAPRI HLDGS LTD SHS (VGB)|45.75
20190401|G18920101|CIC|5820|CAPITOL INVT CORP IV USD CL A |10.18
20190401|G1991C105|CATM|2615|CARDTRONICS PLC|35.58
20190401|G1992S109|CISN|389|CISION LTD|13.77
20190401|G20045202|CETV|113|CENTRAL EUROPEAN MEDIA ENTRP-A|3.98
20190401|G21082105|CYD|76|CHINA YUCHAI INTL LTD|15.85
20190401|G2110U109|CHNR|173|CHINA NATURAL RESOURCES, INC|1.66
20190401|G2113X134|CCCL|2743|CHINA CERAMICS CO LTD USD SHS |1.63
20190401|G21515104|CBPO|185|CHINA BIOLOGIC PRODS HLDGS INC|91.25
20190401|G2161P108|SXTC|300|CHINA SXT PHARMACEUTICALS INC |6.82
20190401|G21612109|CLDC|19305|CHINA LENDING CORP SHS (VGB)|1.25
20190401|G2345N102|CMSS|18500|CM SEVEN STAR ACQUISITION CORP|7.31
20190401|G2345N128|CMSSU|1501|CM SEVEN STAR ACQUISITION CORP|9.62
20190401|G2345N136|CMSSR|61700|CM SEVEN STAR ACQUISITION CORP|0.33
20190401|G23773107|CWCO|3409|CONSOLIDATED WATER CO., INC.|12.87
20190401|G2379F108|CNAC|457|CONSTELLATION ALPHA CAP CORP|10.29
20190401|G2379F116|CNACW|100|CONSTELLATION ALPHA CAP CORP W|0.12
20190401|G2379F132|CNACR|100|CONSTELLATION ALPHA CAP CORP R|0.13
20190401|G2519Y108|BAP|3451|CREDICORP LTD (COMM $5.00 PAR)|239.95
20190401|G25839104|CCEP|106|COCA-COLA EUROPEAN PARTNERS PL|51.74
20190401|G2717B108|CWK|5860|CUSHMAN & WAKEFIELD PLC SH (GB|17.80
20190401|G2788T103|DOGZ|8719|DOGNESS INTL CORP CL A COM (VG|3.53
20190401|G28365107|LYL|670|DRAGON VICTORY INTL LTD SHS (C|1.40
20190401|G3040R158|EDVMF|807|ENDEAVOUR MINING CORP SHS NEW |14.99
20190401|G30401106|ENDP|1064|ENDO INTL PLC ORD SHS (IRL)|8.03
20190401|G31249108|ESTA|80|ESTABLISHMENT LABS HLDGS INC C|24.04
20190401|G3157S106|ESV|102367|ENSCO INTERNATIONAL PLC,LONDON|3.93
20190401|G31642104|CLPS|79|CLPS INCORPORATION|10.03
20190401|G3165V109|ARYA|300|ARYA SCIENCES ACQUISITION CORP|9.81
20190401|G3165V125|ARYAW|1100|ARYA SCIENCES ACQUISITION CORP|1.30
20190401|G32030127|CLWT|84038|EURO TECH HOLDINGS CO LTD NEW |5.49
20190401|G3206V100|ESTR|96997|ESTRE AMBIENTAL IN SHS (CYM)|1.62
20190401|G3323L100|FN|125|FABRINET ORD SHS (CYM)|52.36
20190401|G33277107|FAMI|24839|FARMMI INC ORDINARY SHARES (CY|4.39
20190401|G35006108|ALAC|49|ALBERTON ACQCORP USD ORD SHS|9.95
20190401|G3682E192|FRO|34603|FRONTLINE LTD (BMU)|6.46
20190401|G3704F110|FFHL|9577|FUWEI FILMS HOLDINGS CO LTD SH|2.58
20190401|G3729B102|FORK|488|FULING GLOBAL INC SHS|2.40
20190401|G3788M114|EROS|89|EROS INTL PLC ORD SHS (IMN)|9.14
20190401|G3922B107|G|149|GENPACT LIMITED|35.18
20190401|G3933F105|GBLI|19|GLOBAL INDEMNITY LTD CAYMAN CL|30.38
20190401|G39637205|GOGL|1500|GOLDEN OCEAN GROUP LTD SHS NEW|4.77
20190401|G4027R104|DNJR|238|GOLDEN BULL LTD SHS (CYM)|8.03
20190401|G40981121|GLACU|1993|GREENLAND ACQUISITION CORP UTS|10.44
20190401|G40981139|GLAC|2900|GREENLAND ACQUISITION CORP|10.07
20190401|G4412G101|HLF|170|HERBALIFE NUTRITION LTD|52.99
