SETTLEMENT DATE|CUSIP|SYMBOL|QUANTITY (FAILS)|DESCRIPTION|PRICE
20200115|B38564108|EURN|170960|EURONAV NV ANTWERPEN (BELGIUM)|11.88
20200115|D18190898|DB|16849|DEUTSCHE BANK AG NAMEN AKT (DE|8.58
20200115|G0080J104|ACTT|87|ACT II GLOBAL ACQUISITION CORP|10.15
20200115|G0080J120|ACTTW|2760|ACT II GLOBAL ACQUISITION CORP|1.15
20200115|G01125106|AFYA|3634|AFYA LTD CL A COM|27.30
20200115|G0120M125|AGBAR|5|AGBA ACQUISITION LTD RT 05/10/|0.19
20200115|G0232J101|ALUS|349700|ALUSSA ENERGY ACQUISITION CORP|9.84
20200115|G0232J119|ALUSWS|255700|ALUSSA ENERGY ACQUISITION CORP|0.82
20200115|G0250X107|AMCR|13992|AMCOR PLC ORD USD0.01 (JEY)|10.62
20200115|G037AX101|AMBA|9931|AMBARELLA, INC ORD SHS|64.02
20200115|G0408V102|AON|1077|AON PLC ORD SHS CL A NEW (UK) |207.65
20200115|G05384162|AHLPRD|66|ASPEN INSURANCE HOLDINGS LIMIT|26.82
20200115|G05384204|AHLPRE|22892|ASPEN INSURANCE HOLD LIM DEP S|26.29
20200115|G0602B100|ATIF|7689|ATIF HLDGS LTD USD ORD SHS|1.83
20200115|G06207123|AFHBL|100|ATLAS FINL HLDGS INC 6.625%SR |6.95
20200115|G06242104|TEAM|2054|ATLASSIAN CORP PLC CLA (GBR)|134.22
20200115|G0684D107|ATH|7|ATHENE HLDG LTD CL A (BMU)|47.45
20200115|G06974102|AUIAF|12163|AURANIA RES LTD SHS (BERMUDA) |3.01
20200115|G1466R207|BORR|197|BORR DRILLING LTD SHS (BERMUDA|8.06
20200115|G1611B107|BROG|7594|BROOGE HLDGS LTD SHS (CYM)|7.96
20200115|G16249107|BPY|7271|BROOKFIELD PPTY PARTNERS L P U|18.66
20200115|G16249156|BPYPO|988|BROOKFIELD PPTY PART P|26.10
20200115|G16258108|BEP|13337|BROOKFIELD RENEWABLE PARTNERS |46.03
20200115|G1757E113|CMCL|15772|CALEDONIA MNG CORP PLC SHS NEW|8.40
20200115|G1992S109|CISN|50|CISION LTD|9.97
20200115|G2110U109|CHNR|2961|CHINA NATURAL RESOURCES, INC|1.63
20200115|G21125102|CNWHF|334|CHINA NETWORKS INTL HLDGS LTD |0.50
20200115|G2113X134|CCCL|53202|CHINA CERAMICS CO LTD USD SHS |0.90
