SETTLEMENT DATE|CUSIP|SYMBOL|QUANTITY (FAILS)|DESCRIPTION|PRICE
20200302|D1668R123|DDAIF|3703|DAIMLER AG|41.03
20200302|D18190898|DB|356574|DEUTSCHE BANK AG NAMEN AKT (DE|8.72
20200302|G0080J112|ACTTU|100|ACT II GLOBAL ACQ CORP USD UIT|11.05
20200302|G0084W101|ADNT|124|ADIENT PLC ORD SHS (IRL)|23.93
20200302|G01022105|CXRXF|19|ADVANZ PHARMA CORP LTD|4.46
20200302|G01125106|AFYA|965|AFYA LTD CL A COM|23.78
20200302|G0120M125|AGBAR|450|AGBA ACQUISITION LTD RT 05/10/|0.18
20200302|G0132V105|AGMH|48|AGM GROUP HLDGS INC USD CL A O|15.15
20200302|G0177J108|AGN|67626|ALLERGAN PLC ORD SHS (IRL)|190.67
20200302|G0232J119|ALUSWS|1500|ALUSSA ENERGY ACQUISITION CORP|0.80
20200302|G0250X107|AMCR|87937|AMCOR PLC ORD USD0.01 (JEY)|9.32
20200302|G02602103|DOX|32537|AMDOCS LTD ORD|63.75
20200302|G04415132|ANDAR|500|ANDINA ACQUISITION CORP III RT|0.28
20200302|G0473C104|JJAQF|61992|API GROUP CORP SHS (VGB)|10.95
20200302|G05384154|AHLPRC|496|ASPEN INSURANCE HLDGS LTD FXD/|25.90
20200302|G06242104|TEAM|2024|ATLASSIAN CORP PLC CLA (GBR)|144.96
20200302|G0684D107|ATH|26|ATHENE HLDG LTD CL A (BMU)|41.25
20200302|G06974102|AUIAF|1797|AURANIA RES LTD SHS (BERMUDA) |1.84
20200302|G1117K106|BIOXWS|20|BIOCERES CROP SOLUTIONS CORP. |0.16
20200302|G11196105|BHVN|347|BIOHAVEN PHARMACEUTICAL HLDG C|44.16
20200302|G1329V106|BHAT|2016|BLUE HAT INTERACTIVE ENTMT TEC|0.96
20200302|G1466R207|BORR|32573|BORR DRILLING LTD SHS (BERMUDA|2.41
20200302|G1611B107|BROG|2200|BROOGE HLDGS LTD SHS (CYM)|11.83
20200302|G1611B115|BROGW|620|BROOGE HLDGS LTD WT EXP 12/20/|1.10
20200302|G16249107|BPY|224501|BROOKFIELD PPTY PARTNERS L P U|16.32
