Oct. 19, 2020   2.633B
Sept. 27, 2020  2.632B
July 20, 2020   2.633B
June 28, 2020   2.632B
April 23, 2020  2.636B
April 22, 2020  2.635B
March 29, 2020  2.632B
Feb. 25, 2020   2.636B
Feb. 10, 2020   2.635B
Dec. 29, 2019   2.633B
Oct. 22, 2019   2.632B
Sept. 29, 2019  2.631B
July 24, 2019   2.639B
June 30, 2019   2.642B
April 25, 2019  2.655B
March 31, 2019  2.656B
Feb. 26, 2019   2.663B
Feb. 15, 2019   2.663B
Dec. 30, 2018   2.662B
Oct. 26, 2018   2.682B
Sept. 30, 2018  2.683B
July 27, 2018   2.683B
July 1, 2018  2.682B
April 26, 2018  2.682B
April 1, 2018   2.682B
Feb. 27, 2018  2.683B
Feb. 16, 2018  2.683B
Dec. 31, 2017  2.683B
Oct. 27, 2017  2.687B
Oct. 1, 2017   2.685B
July 28, 2017  2.684B
July 2, 2017   2.685B
April 28, 2017   2.694B
April 2, 2017  2.695B
Feb. 28, 2017  2.711B
Feb. 23, 2017  2.713B
Jan. 1, 2017   2.707B
Oct. 28, 2016  2.721B
Oct. 2, 2016   2.723B
July 29, 2016  2.736B
July 3, 2016   2.738B
April 29, 2016   2.751B
April 3, 2016  2.752B
March 1, 2016  2.758B
Feb. 19, 2016  2.759B
Jan. 3, 2016   2.755B
Oct. 23, 2015  2.767B
Sept. 27, 2015   2.767B
July 24, 2015  2.769B
June 28, 2015  2.769B
